Print quanity,Cover type,Book size,Page count,Colour printing,Total price incl shipping and margin,Shipping (AIR/SEA/EXCL),Source currency,Print Days,Min Shipping Days,Max Shipping Days,Countries,Printer name
50,Softcover PUR,A5,32,B&W,662.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,40,B&W,687.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,48,B&W,712.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,56,B&W,737.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,64,B&W,762.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,72,B&W,787.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,80,B&W,812.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,88,B&W,837.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,96,B&W,862.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,104,B&W,887.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,112,B&W,912.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,120,B&W,937.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,128,B&W,962.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,136,B&W,987.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,144,B&W,1012.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,152,B&W,1037.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,160,B&W,1062.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,168,B&W,1087.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,176,B&W,1112.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,184,B&W,1137.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,192,B&W,1162.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,200,B&W,1187.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,208,B&W,1212.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,216,B&W,1237.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,224,B&W,1262.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,232,B&W,1287.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
50,Softcover PUR,A5,240,B&W,1312.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,32,B&W,819.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,40,B&W,851.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,48,B&W,882.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,56,B&W,914.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,64,B&W,945.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,72,B&W,977.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,80,B&W,1008.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,88,B&W,1040.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,96,B&W,1071.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,104,B&W,1103.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,112,B&W,1134.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,120,B&W,1166.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,128,B&W,1197.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,136,B&W,1229.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,144,B&W,1260.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,152,B&W,1292.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,160,B&W,1323.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,168,B&W,1355.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,176,B&W,1386.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,184,B&W,1418.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,192,B&W,1449.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,200,B&W,1481.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,208,B&W,1512.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,216,B&W,1544.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,224,B&W,1575.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,232,B&W,1607.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
100,Softcover PUR,A5,240,B&W,1638.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
150,Softcover PUR,A5,32,B&W,1134.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
150,Softcover PUR,A5,40,B&W,1186.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
150,Softcover PUR,A5,48,B&W,1239.0,EXCL,AUD,16 days,5 days,15 days,AU,BPC
150,Softcover PUR,A5,56,B&W,1291.5,EXCL,AUD,16 days,5 days,15 days,AU,BPC
