Print quanity,Cover type,Book size,Page count,Colour printing,Shipping ,Print Days,Minimum Shipping Days,Max Shipping Days,Ships to,Currency,Total price,Per book price,Source currency,Printer name,Currency rate
50,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,662.5,13.25,AUD,BPC,1
50,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,687.5,13.75,AUD,BPC,1
50,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,712.5,14.25,AUD,BPC,1
50,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,737.5,14.75,AUD,BPC,1
50,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,762.5,15.25,AUD,BPC,1
50,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,787.5,15.75,AUD,BPC,1
50,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,812.5,16.25,AUD,BPC,1
50,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,837.5,16.75,AUD,BPC,1
50,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,862.5,17.25,AUD,BPC,1
50,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,887.5,17.75,AUD,BPC,1
50,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,912.5,18.25,AUD,BPC,1
50,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,937.5,18.75,AUD,BPC,1
50,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,962.5,19.25,AUD,BPC,1
50,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,987.5,19.75,AUD,BPC,1
50,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1012.5,20.25,AUD,BPC,1
50,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1037.5,20.75,AUD,BPC,1
50,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1062.5,21.25,AUD,BPC,1
50,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1087.5,21.75,AUD,BPC,1
50,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1112.5,22.25,AUD,BPC,1
50,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1137.5,22.75,AUD,BPC,1
50,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1162.5,23.25,AUD,BPC,1
50,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1187.5,23.75,AUD,BPC,1
50,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1212.5,24.25,AUD,BPC,1
50,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1237.5,24.75,AUD,BPC,1
50,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1262.5,25.25,AUD,BPC,1
50,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1287.5,25.75,AUD,BPC,1
50,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1312.5,26.25,AUD,BPC,1
100,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,819,8.19,AUD,BPC,1
100,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,851,8.51,AUD,BPC,1
100,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,882,8.82,AUD,BPC,1
100,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,914,9.14,AUD,BPC,1
100,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,945,9.45,AUD,BPC,1
100,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,977,9.77,AUD,BPC,1
100,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1008,10.08,AUD,BPC,1
100,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1040,10.4,AUD,BPC,1
100,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1071,10.71,AUD,BPC,1
100,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1103,11.03,AUD,BPC,1
